what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339260521008
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339260521008
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1339260521009
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1339260521010
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1339260521011
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1339260521012
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1339260521013
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1339260521014
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1339260521015
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1339260521015
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1339260521016
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339260521018
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339260521020
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339260521021
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1339260521021
os,sysinfo,,,"win32",1339260521026
arch,sysinfo,,,"x86_64",1339260521026
ws,sysinfo,,,"win32",1339260521026
locale,sysinfo,,,"en_US",1339260521026
processors,sysinfo,,,"4",1339260521026
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339260521026
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1339260521026
java.specification.name,sysinfo,,,"Java Platform API Specification",1339260521026
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339260521026
java.specification.version,sysinfo,,,"1.6",1339260521026
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339260521026
java.version,sysinfo,,,"1.6.0_24",1339260521026
java.vm.info,sysinfo,,,"mixed mode",1339260521026
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1339260521026
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339260521026
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339260521026
java.vm.specification.version,sysinfo,,,"1.0",1339260521026
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339260521026
java.vm.version,sysinfo,,,"19.1-b02",1339260521026
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1339260521027
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1339260521040
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1339260521190
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1339260521229
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1339260521248
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1339260521250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339260522771
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1339260523227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339260523237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339260527715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339260527750
