what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349620200
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1339349620210
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339349620745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349663285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349675119
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1339349675138
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339349693950
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349694600
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339349699804
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1339349726367
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339349740359
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349750658
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349750742
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349755318
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339349765203
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349813905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349820670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349827560
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1339349827571
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339349828357
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349849565
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339349856376
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349864260
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339349865822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349871147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349881184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1339349881209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349885466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339349887063
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1339349887082
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349892691
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339349896949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350232178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350235192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339350245817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339350246874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350276898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350279080
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350279521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350282533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350287587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350291114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350291409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350299595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350300197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350346120
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1339350364114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350390245
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350400843
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339350403041
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339350407693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350422130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350422802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350422943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350436041
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350443444
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1339350457064
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339350469610
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339350525021
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1339350525030
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350525054
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1339350526692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350534717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350538100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350546030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350574276
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350582225
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339350585855
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1339350587225
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339350589729
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1339350590904
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1339350592591
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1339350592929
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1339350594225
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1339350594324
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1339350594365
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1339350595152
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339350595371
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1339350612999
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350613893
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1339350613894
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350615077
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350615507
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350615509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350616665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350617257
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339350618974
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350620499
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1339350621685
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350622460
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339350623038
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350646348
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350662332
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350662395
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1339350662403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350672291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350677404
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339350689821
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339350696635
